year,month,illnesses,deaths,hospitalizations,state,genus_species,contaminated_ingredient,serotype_or_genotype,etiology_status,location_of_preparation,food_vehicle
2004,9,2,0,0,Georgia,,,,,Restaurant - other or unknown type,
2008,5,43,0,0,California,Norovirus unknown,,,Confirmed,Restaurant - other or unknown type,
2006,2,2,,,Florida,,,,,Restaurant - other or unknown type,"taco, unspecified"
2006,7,15,0,2,Wisconsin,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,"beef/steak dish, other"
2010,4,34,0,0,Connecticut,Norovirus Genogroup II,,,Confirmed,Banquet Facility (food prepared and served on-site),
2005,1,4,0,0,Washington,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,lettuce-based salads unspecified
2004,5,2,,,Florida,,,,,Grocery store,chicken salad
2013,10,52,,,Oregon,Clostridium perfringens,,,Confirmed,Camp,"beef, stroganoff"
2004,2,18,0,0,Illinois,,,,,Restaurant - other or unknown type,
2014,2,3,0,0,Alaska,Salmonella enterica,goat,Stanley,Confirmed,Restaurant - other or unknown type,goat
2005,9,2,0,2,Washington,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Unknown,"parsley, unspecified; house salad"
2014,6,5,0,0,Florida,Ciguatoxin,"fish, amberjack",,Confirmed,Restaurant - Sit-down dining,"fish, amberjack"
1999,6,15,0,0,California,Shigella sonnei,,,Confirmed,Restaurant - other or unknown type,
2001,1,250,0,1,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Other (describe in remarks),ambrosia; antipasta salad
2006,3,10,0,0,North Carolina,,vine-stalk eg. tomato,,,Caterer (food prepared off-site from where served),house salad
2000,4,5,0,0,Hawaii,,,,,Restaurant - other or unknown type,unspecified fish; caesar salad
1998,5,3,0,0,Florida,,,,,Restaurant - other or unknown type,"chicken, other"
2004,8,6,0,2,Illinois,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Private home/residence,"ground beef, hamburger"
1998,9,4,0,0,Florida,Salmonella enterica,,,Suspected,Private home/residence,"hot dog, unspecified"
1999,4,21,0,,Hawaii,Salmonella enterica,egg,Enteritidis,Confirmed,,beef/steak dishes
2002,8,3,0,0,Hawaii,,,,,Restaurant - other or unknown type,"taco, beef; taco, chicken"
2005,5,35,0,0,New York,Salmonella enterica; Clostridium perfringens; Salmonella enterica,root (eg. potato),Infantis; ; London,Confirmed; Confirmed; Confirmed,Restaurant - other or unknown type; Private home/residence,potato salad
2005,9,7,,,Florida,Salmonella other,,,Confirmed,Restaurant - other or unknown type,
2006,6,21,0,2,Michigan,Salmonella enterica,,Baildon,Confirmed,Restaurant - other or unknown type,
1999,9,5,0,0,Pennsylvania,,,,,Restaurant - other or unknown type,"pizza, unspecified; bread, unspecified; garlic, unspecified"
2008,9,5,0,0,Oregon,,,,,Other (describe in remarks),
2001,7,18,0,0,Oregon,Clostridium perfringens,,,Suspected,Restaurant - other or unknown type,"burrito, unspecified"
2001,7,60,0,0,California,,,,,Camp,
2007,7,9,0,0,New Hampshire,,,,,Restaurant - other or unknown type,
2009,6,8,0,0,Connecticut,Cyclospora cayatenensis,,,Confirmed,Private home/residence,blackberries; raspberries
2004,5,47,0,0,South Carolina,Clostridium perfringens,,,Confirmed,Restaurant - other or unknown type,"taco, beef; taco, chicken"
2006,4,33,0,0,Ohio,Norovirus Genogroup I,,,Confirmed,Private home/residence; Grocery store; Religious facility; Other (describe in remarks),
2015,12,2,0,0,Georgia,Norovirus Genogroup II,,unknown,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",ice cream
2015,4,9,0,0,Pennsylvania,Norovirus,,,Suspected,Restaurant - Sit-down dining,
2011,1,2,0,1,New York,"Escherichia coli, Shiga toxin-producing",venison,O157:H7,Confirmed,Private home/residence,venison
2015,2,2,0,0,Iowa,Norovirus unknown,,,Suspected,Restaurant - Sit-down dining,
2011,12,4,0,0,Arizona,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2011,1,36,0,1,Colorado,,,,,Long-term care/nursing home/assisted living facility,
2006,12,2,0,0,Kansas,,,,,Restaurant - other or unknown type,
2010,12,2,0,0,Washington,,,,,Restaurant - Sit-down dining,
2001,3,11,0,0,Michigan,,,,,Restaurant - other or unknown type,
2008,7,82,0,4,Washington,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,"fried rice, unspecified"
2000,2,45,0,,Tennessee,,,,,Grocery store,
2001,2,18,,,New York,,,,,Unknown,"burrito, chicken; enchilada, chicken"
2004,7,4,0,1,Maine,Salmonella enterica,,Hartford,Confirmed,Unknown,
2004,10,3,,,Florida,,,,,Other (describe in remarks),"cereal, unspecified"
2008,9,10,0,0,Texas,Salmonella enterica,,Uganda,Confirmed,Restaurant - other or unknown type,
2007,5,25,0,1,California,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,chicken stir fry
2001,4,66,0,1,Ohio,,,,,Caterer (food prepared off-site from where served),
2013,6,11,0,4,Michigan,Salmonella enterica,,Thompson,Confirmed,Restaurant - Sit-down dining,"ribs, pork"
1998,12,60,0,0,Kansas,Clostridium perfringens,,,Confirmed,Other (describe in remarks),
2011,2,8,0,0,New York,Norovirus; Other,,,Confirmed; Suspected,Restaurant - Sit-down dining,
2008,12,93,0,4,Maine,Norovirus unknown,,,Confirmed,,
2008,1,3,0,0,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Private home/residence,
2001,3,4,,,Florida,,,,,Restaurant - other or unknown type,
2002,8,4,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,chips and salsa
2011,7,4,0,4,Indiana,,,,,,
2008,10,13,0,0,Wisconsin,Clostridium perfringens,,,Confirmed,Caterer (food prepared off-site from where served),"roast beef, other"
2006,2,16,0,0,California,Norovirus unknown,,,Suspected,Caterer (food prepared off-site from where served),multiple foods
2000,3,3,0,0,Maryland,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2010,6,34,4,32,Multistate,Listeria monocytogenes,,,Confirmed,Private home/residence,"cheese, pasteurized"
2001,5,5,,,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"sandwich, unspecified"
2004,7,16,0,0,Kansas,Norovirus unknown,,,Suspected,Restaurant - other or unknown type; Camp,
2011,4,3,0,0,Arizona,,,,,Caterer (food prepared off-site from where served),
1999,1,9,,,Florida,Norovirus Genogroup I,,,Suspected,Private home/residence,pasta salad; spinach salad
2003,9,15,0,0,Louisiana,Norovirus Genogroup I,,,Confirmed,Caterer (food prepared off-site from where served); Grocery store; Office/indoor workplace,
2014,5,3,0,0,Ohio,Norovirus Genogroup II,,GII_4 Sydney (2012),Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",salad
2001,4,27,0,12,Multistate,Salmonella enterica,milk,Newport,Confirmed,Restaurant - other or unknown type,"multiple cheeses, unpasteurized"
2002,4,3,,,Florida,,,,,Restaurant - other or unknown type,"steak, other"
2004,8,2,,,Wisconsin,Norovirus Genogroup I,,,Confirmed,Caterer (food prepared off-site from where served),
2015,5,6,0,4,Kentucky,Salmonella enterica,,Enteritidis,Confirmed,Caterer (food prepared off-site from where served),
2005,4,14,0,0,Illinois,Salmonella enterica,,Enteritidis,Confirmed,Office/indoor workplace,
2006,12,2,,,Ohio,,,,,Restaurant - other or unknown type,
2008,2,22,0,0,Wisconsin,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
2000,9,3,,,Ohio,,,,,Restaurant - other or unknown type,
2010,2,18,0,,Indiana,Campylobacter jejuni,,,Confirmed,Other (describe in remarks),
2011,7,4,,,Florida,,,,,Restaurant - Sit-down dining,dips
2009,8,7,0,2,Arizona,Salmonella enterica,,Newport,Confirmed,,"peppers, jalapeno"
2001,2,86,,,California,Norovirus Genogroup I,,,Suspected,Caterer (food prepared off-site from where served),pasta-based salads unspecified
2001,6,7,,,Maryland,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"pizza, unspecified"
2001,3,17,0,0,Washington,Norovirus unknown,,,Suspected,Private home/residence,"lettuce-based salads unspecified; bread, unspecified"
2011,6,18,0,0,Arizona,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",
2003,8,3,0,2,Pennsylvania,Salmonella enterica,,Typhimurium,Suspected,Unknown,"pita; chicken, grilled"
2014,5,6,0,0,Florida,Norovirus Genogroup II,,,Confirmed,Restaurant - Sit-down dining,
2012,7,2,0,1,Illinois,Salmonella enterica,,Wimborne,Confirmed,Restaurant - Sit-down dining,
2005,7,7,,,Florida,Other - Chemical/Toxin,,,Suspected,Restaurant - other or unknown type,"spaghetti, unspecified; beef, chili"
2015,11,3,0,0,Oregon,Norovirus Genogroup I,"oysters, raw",,Suspected,Restaurant - Sit-down dining,oyster shooters
2006,1,2,0,0,Georgia,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,
2002,4,2,0,0,California,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,
2003,11,5,0,0,Oregon,Salmonella enterica,,Muenster,Confirmed,Restaurant - other or unknown type,
2010,5,6,0,0,Arizona,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
2010,12,5,0,0,Tennessee,,,,,,
2012,3,9,0,0,North Carolina,,,,,,
2004,5,4,,,Florida,Ciguatoxin,,,Confirmed,Private home/residence,"fish, baracuda"
2013,6,15,0,0,Multistate,Vibrio parahaemolyticus,,Other,Confirmed,Restaurant - Sit-down dining; Grocery store; Other (describe in remarks),"oysters, raw; clams, raw"
2002,1,4,0,0,Illinois,,,,,Restaurant - other or unknown type,
2001,3,13,,,Maryland,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,
2002,3,37,0,0,Hawaii,,,,,Restaurant - other or unknown type,"cake, chocolate"
2000,4,2,0,0,Florida,Staphylococcus aureus,root (eg. potato); root (eg. potato),,Suspected,Restaurant - other or unknown type,"soup, potato; potato salad"
2015,5,5,0,1,California,Campylobacter jejuni,raw milk,,Confirmed,Other (describe in remarks),"goat milk, unpasteurized"
2003,8,6,,,Florida,,,,,Restaurant - other or unknown type,"pie, merengue; chocolate, unspecified"
1998,11,2,,,Maryland,,chicken,,,Restaurant - other or unknown type,"chicken, baked"
2008,2,10,0,,Michigan,,,,,Other (describe in remarks),
2012,4,24,0,0,Missouri,,,,,Caterer (food prepared off-site from where served),"chili white chicken; salsa, unspecified"
2000,3,2,0,0,Florida,Staphylococcus aureus,chicken,,Suspected,Restaurant - other or unknown type,"burrito, chicken"
1999,11,55,,,Texas,,,,,School/college/university,"nachos, unspecified"
2000,3,3,0,0,Florida,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,multiple foods
2008,1,52,0,0,Georgia,Heavy metals,,,Confirmed,Other (describe in remarks),dietary supplement
2002,7,510,0,43,Multistate,Salmonella enterica,,Newport,Confirmed,Restaurant - other or unknown type; Hospital; School/college/university,"tomato, unspecified"
2006,3,6,0,0,Illinois,,,,,Restaurant - other or unknown type,
2001,10,7,0,0,California,,,,,Other (describe in remarks),
2001,7,47,0,4,Illinois,Salmonella enterica,,Enteritidis,Confirmed,Long-term care/nursing home/assisted living facility,
2013,10,10,0,0,Minnesota,Norovirus Genogroup II,,,Confirmed,Private home/residence,fruit
2000,7,9,,0,Ohio,Norovirus Genogroup II,,unknown,Confirmed,Restaurant - other or unknown type,
1998,1,4,0,0,Maryland,Salmonella enterica,,Enteritidis,Confirmed,Restaurant - other or unknown type,"burrito, chicken"
2007,1,54,0,0,Maine,,,,,,
2010,1,35,0,0,New York,Norovirus unknown,,,Suspected,Private home/residence; Caterer (food prepared off-site from where served); Other (describe in remarks),fattoush salad; salad dressings
2001,3,14,0,0,Minnesota,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"oysters, raw"
1998,2,38,0,0,Oregon,,,,,Restaurant - other or unknown type,caesar salad
2012,2,2,0,0,Texas,,,,,Restaurant - Sit-down dining,ambrosia
2004,3,41,0,0,Michigan,Norovirus Genogroup I,,GI_1,Confirmed,Restaurant - other or unknown type,
1999,5,20,0,0,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"rice, unspecified"
1999,12,48,,,North Carolina,Staphylococcus aureus,,,Confirmed,Caterer (food prepared off-site from where served),"ham, unspecified"
2009,6,2,0,0,Kansas,,,,,Restaurant - Sit-down dining,
2009,3,10,0,0,Utah,Campylobacter jejuni,milk,,Confirmed,Private home/residence,"queso fresco, unpasteurized"
2000,5,3,0,0,Florida,Salmonella enterica,sprouts,,Suspected,Restaurant - other or unknown type,alfalfa sprouts
2011,4,7,0,2,Tennessee,Hepatitis A,,,Confirmed,Restaurant - Sit-down dining,
2000,9,4,,,Florida,,,,,Restaurant - other or unknown type,"chicken, buffalo wings"
2007,5,145,0,0,New Jersey,Clostridium perfringens,turkey; pasta,,Confirmed,Prison/jail,"turkey ziti, casserole"
2013,12,16,0,0,New Hampshire,,,,,Banquet Facility (food prepared and served on-site),
1998,8,42,,0,California,,,,,Restaurant - other or unknown type,
2000,1,2,0,0,Alabama,,,,,Restaurant - other or unknown type,
2012,9,12,0,0,Arizona,,,,,Private home/residence,
1998,1,47,0,0,Guam,Vibrio parahaemolyticus,,,Confirmed,Restaurant - other or unknown type,"chicken, unspecified"
2000,5,36,0,14,Arkansas,"Escherichia coli, Shiga toxin-producing",chicken,O157:H7,Confirmed,Restaurant - other or unknown type,"chicken, unspecified"
2004,11,6,0,0,California,Bacillus cereus; Clostridium perfringens,,,Suspected; Suspected,Restaurant - other or unknown type,
2002,2,2,0,0,Washington,,,,,Restaurant - other or unknown type,"turkey, roasted"
2008,8,13,0,0,Texas,,,,,School/college/university,
2012,6,25,0,2,New Jersey,Norovirus,,,Suspected,Restaurant - Sit-down dining,
2004,11,4,0,0,Pennsylvania,Giardia intestinalis,,,Confirmed,Unknown,
2000,5,2,,,Michigan,,,,,Restaurant - other or unknown type,"chicken, unspecified; coleslaw"
2000,4,4,0,3,Michigan,"Escherichia coli, Shiga toxin-producing",beef,O157:H7,Confirmed,Restaurant - other or unknown type; Private home/residence,"ground beef, unspecified"
2006,5,45,0,,New Jersey,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,green salad
2015,2,6,0,0,Idaho,Salmonella enterica,,Schwarzengrund,Confirmed,Restaurant - Sit-down dining,"spring rolls, unspecified"
2005,11,15,0,1,Illinois,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type; Private home/residence; Office/indoor workplace; Hospital,
2004,11,78,0,0,North Carolina,Norovirus Genogroup I,,,Confirmed,Other (describe in remarks),
2000,4,3,,,Florida,Vibrio parahaemolyticus,,,Suspected,Restaurant - other or unknown type,"crab, unspecified"
2004,8,11,,,New Mexico,Clostridium perfringens; Bacillus cereus,beef; legume; root (eg. potato),,Confirmed; Confirmed,Religious facility,"burrito, beef"
2010,8,21,0,0,Minnesota,Norovirus Genogroup II,,,Confirmed,Banquet Facility (food prepared and served on-site),"salad, unspecified"
1998,7,2,0,0,Florida,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type,"ground beef, cheeseburger"
1999,12,41,0,4,Georgia,Norovirus Genogroup I,,,Confirmed,Restaurant - other or unknown type,"salsa, unspecified; ice; ground beef, unspecified"
2003,6,35,0,0,North Dakota,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,potato salad
1998,12,6,0,0,Florida,,,,,Restaurant - other or unknown type,"condiment, unspecified; ground beef, hamburger"
2011,1,37,0,7,California,Salmonella enterica,,Typhimurium,Confirmed,Private home/residence,"queso fresco, unpasteurized"
2004,10,11,,,Texas,,,,,Restaurant - other or unknown type,"tomato, unspecified"
2009,11,12,0,0,Maryland,"Escherichia coli, Enteroaggregative; Escherichia coli, Enterotoxigenic; Shigella sonnei",,unknown; unknown; ,Confirmed; Confirmed; Confirmed,Caterer (food prepared off-site from where served),
2005,7,50,0,0,Tennessee,Staphylococcus aureus,,,Suspected,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),"pork, bbq"
2003,5,40,,,Massachusetts,,,,,School/college/university,"sandwich, wrap"
2014,7,11,0,0,Pennsylvania,,,,,Private home/residence; Camp,
2005,1,7,0,3,Connecticut,"Escherichia coli, Shiga toxin-producing",beef,O157:H7,Confirmed,Private home/residence,"ground beef, unspecified"
2009,9,6,0,0,New York,Salmonella enterica,,Enteritidis,Confirmed,Private home/residence,
1999,6,2,,,Alabama,,,,,Grocery store,
2012,12,27,0,0,Colorado,Norovirus unknown,egg,,Suspected,Restaurant - Sit-down dining,"eggs, scrambled"
2013,3,8,1,0,Maryland,,,,,Restaurant - Sit-down dining,
2004,3,2,0,2,Washington,"Escherichia coli, Shiga toxin-producing",,O157:H7,Confirmed,Restaurant - other or unknown type,"lamb, unspecified"
2002,1,13,0,0,Utah,Campylobacter jejuni,milk,,Confirmed,Private home/residence,"whole milk, unpasteurized"
1998,2,3,0,0,Washington,,,,,Restaurant - other or unknown type,
2013,2,9,0,0,North Carolina,,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",
1998,3,5,0,1,California,,,,,Other (describe in remarks),"sausage, unspecified"
2004,12,3,,1,Pennsylvania,Salmonella enterica,,Typhimurium,Confirmed,Restaurant - other or unknown type; Private home/residence,
2005,10,5,,,California,Norovirus Genogroup I,,,Suspected,Restaurant - other or unknown type,"sandwich, other"
2004,1,134,0,0,Nevada,Norovirus Genogroup I,,,Confirmed,Long-term care/nursing home/assisted living facility,
2012,9,13,0,0,Minnesota,Norovirus,"cheese, unspecified",,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)","cheese, unspecified"
2007,9,2,,,Florida,Ciguatoxin,,,Confirmed,Private home/residence,"fish, grouper, unspecified"
1999,4,3,0,0,Florida,,,,,Grocery store,"deli meat, multiple"
2008,5,4,0,0,Ohio,,,,,Restaurant - other or unknown type,
2001,6,37,0,0,Washington,Norovirus unknown,,,Suspected,School/college/university,green salad
2005,6,3,0,0,Hawaii,Ciguatoxin,,,Confirmed,Private home/residence,"fish, baracuda"
2002,4,14,0,1,California,Shigella sonnei,,,Confirmed,Restaurant - other or unknown type,"ethnic style, unspecified"
2006,12,8,,,Ohio,,,,,Private home/residence,
1999,6,5,0,0,Minnesota,Clostridium perfringens,,,Suspected,Restaurant - other or unknown type,"sandwich, submarine"
